,open,high,low,close,adjclose,volume,ticker
2021-12-31,15.079999923706055,15.319999694824219,15.079999923706055,15.279999732971191,15.226058959960938,117700,TCN
2022-01-03,15.390000343322754,15.40999984741211,14.774999618530273,15.029999732971191,14.97694206237793,124800,TCN
2022-01-04,15.220000267028809,15.239999771118164,14.6899995803833,14.970000267028809,14.917154312133789,261700,TCN
2022-01-05,15.0,15.079999923706055,14.8100004196167,14.890000343322754,14.83743667602539,637200,TCN
2022-01-06,14.989999771118164,15.369999885559082,14.84000015258789,15.34000015258789,15.285847663879395,771100,TCN
2022-01-07,15.430000305175781,15.449999809265137,14.930000305175781,15.079999923706055,15.026764869689941,396200,TCN
2022-01-10,15.0600004196167,15.0600004196167,14.859999656677246,14.949999809265137,14.897224426269531,179900,TCN
2022-01-11,14.989999771118164,15.220000267028809,14.9399995803833,15.180000305175781,15.126412391662598,359500,TCN
2022-01-12,15.210000038146973,15.3100004196167,15.15999984741211,15.279999732971191,15.226058959960938,158300,TCN
2022-01-13,15.399999618530273,15.460000038146973,15.270000457763672,15.4399995803833,15.385494232177734,249000,TCN
2022-01-14,15.359999656677246,15.390000343322754,15.069999694824219,15.329999923706055,15.275882720947266,419600,TCN
2022-01-18,15.229999542236328,15.399999618530273,15.119999885559082,15.300000190734863,15.245988845825195,876700,TCN
2022-01-19,15.300000190734863,15.390999794006348,15.010000228881836,15.079999923706055,15.026764869689941,501500,TCN
2022-01-20,15.069999694824219,15.199999809265137,14.899999618530273,14.930000305175781,14.87729549407959,879400,TCN
2022-01-21,14.930000305175781,14.930000305175781,14.529999732971191,14.529999732971191,14.478706359863281,215200,TCN
2022-01-24,14.289999961853027,14.3100004196167,13.609999656677246,14.140000343322754,14.090084075927734,335900,TCN
2022-01-25,13.949999809265137,14.479999542236328,13.930000305175781,14.359999656677246,14.309307098388672,289400,TCN
2022-01-26,14.510000228881836,14.979999542236328,14.4399995803833,14.569999694824219,14.51856517791748,435300,TCN
